"Data Source","World Development Indicators",

"Last Updated Date","2022-09-16",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Barbados","BRB","Foreign direct investment, net outflows (BoP, current US$)","BM.KLT.DINV.CD.WD","","","","","","","","","","","2399999.9988","860813.473445034","1769652.90999449","816651.300569429","128090.804895863","786579.956242672","719500","248000","-398000","188500","600000","1200000","500000","1400000","1500000","2250000","2750000","2450000","950000","2950000","1400000","1300000","850000","2600000","1100000","3300000","3550000","1200000","950000","1300000","22832500","25582500","24976500","25032500","53562284.34","156876988.055","44447913.6699999","82238761.705","73432246.99","127830392.185","324127084.36","560212022.18","39904868.904256","26296158.2155522","-67595202.338466","322197005.604958","94663329.57464","-116345257.183755","9204500","27828805.75","7500000","",
"Brunei Darussalam","BRN","Foreign direct investment, net outflows (BoP, current US$)","BM.KLT.DINV.CD.WD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","41574955.2340904","","17456680.7736958","","","","","","","","","","","","","","","",
"Bhutan","BTN","Foreign direct investment, net outflows (BoP, current US$)","BM.KLT.DINV.CD.WD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","0","0","0","0","0","0","0","",
"Botswana","BWA","Foreign direct investment, net outflows (BoP, current US$)","BM.KLT.DINV.CD.WD","","","","","","","","","","","","","","","","0","115000.028882257","237541.070143353","0","0","2315931.68299518","-119511.675437576","0","-1276294.129029","-231058.350009453","1471696.12998296","0","0","0","0","7363747.16188913","8508294.76294669","9859104.8596381","9492071.02545319","9461211.91792361","40906041.1561427","-1053186.78497762","4103251.46613174","3497496.37945233","1513711.44151227","2252735.31731967","379651226.158038","42883207.0166659","206067613.980739","-38752973.7598978","57246455.2694582","49808105.929369","31644254.5359284","-91399142.8463313","7820713.91551763","896360.190619883","-9708674.99890323","7955737.98920886","84633020.1853614","111367029.138173","183245314.528017","169693716.450622","-865809.896189868","82078795.499989","-19794884.6595346","-68256785.4853502","",
"Central African Republic","CAF","Foreign direct investment, net outflows (BoP, current US$)","BM.KLT.DINV.CD.WD","","","","","","","","","","","","","","","","1000000","","89547.4929468305","-1338321.10403377","329068.535751162","0","0","343876.597209823","443492.686367561","251741.210542299","603210.19646118","1264777.74564152","2572066.41955055","4764171.51536002","3811813.05298959","3790427.72204854","3502218.37590498","5855867.07107931","5318499.36760413","7204550.01785602","1424427.2","1489584.6","173043.2","301719.4","6496.6","","","1292.3","","","","","","","","","","","","","","","","","","","",
"Canada","CAN","Foreign direct investment, net outflows (BoP, current US$)","BM.KLT.DINV.CD.WD","","","","","","","","","","","930153399.53069","458011558.952851","80176367.3405088","1165917310.69707","1356986437.91395","1249454406.08987","1002589450.85361","1630875919.54667","2277238611.50766","3828556653.03896","4093417644.67799","5545590225.60606","2371122941.88193","5247571783.14066","4584383588.68777","3764431766.52662","3365054235.95091","7603227208.78976","7345916876.08463","6415222031.36654","6050385361.8296","6476544254.92946","5788261952.79644","5141014995.25993","10620671982.7603","15828489189.3896","12289429361.9877","26728689666.4784","36348693780.053","19929576159.9412","46650311862.4571","36831862714.3269","29235654654.8327","23429360705.3751","44822996247.8401","27279616279.776","50352280679.5193","65141277328.096","88688588801.7031","37739086506.2731","36341411459.6469","50094723737.9182","62248451890.0106","54464630765.4405","64979797474.0844","83913840952.4108","67605967673.3612","78187786895.2101","62760295369.0893","77805171347.8481","50167516938.162","",
"Central Europe and the Baltics","CEB","Foreign direct investment, net outflows (BoP, current US$)","BM.KLT.DINV.CD.WD","","","","","","","","","","","","0","0","0","0","0","12000000","17000000","16000000","13000000","21000000","3000000","4000000","1000000","12000000","1000000","22000000","14119985","37373928","20203748.7","20851000.1","-10070000","17926000.4811741","223489360.648221","212528102.299659","243642895.249283","288198805.495653","1055656634.79485","1157124004.76167","712176615.943005","1018931867.81275","1171709250.24751","2745586516.05033","7230686735.54916","8175046240.13436","30656002982.5808","36857549786.8446","90626057346.2221","91743013908.3116","11843667311.8837","-5780188237.47102","17978228591.1435","12699563935.8396","3709965483.14446","26376012261.9128","3119989764.25531","90137417432.4828","2671556808.45693","-54857512291.8914","116111296541.117","183571284538.966","",
"Switzerland","CHE","Foreign direct investment, net outflows (BoP, current US$)","BM.KLT.DINV.CD.WD","","","","","","","","","","","","","","","","","","","","","","","","492105900.642452","1139302459.43907","4572823930.40647","1460323342.88788","1273478146.6724","8694731087.2685","9196020599.96638","5529967186.36586","5455401298.24091","5754440692.59042","8148256764.83525","10748761143.3125","11289089285.6262","16659250329.6899","18817587528.5302","20463807187.7726","35370718284.3231","47305928823.2339","18748515776.8101","10057242155.1355","17924233030.0143","31313906774.4928","54033813133.4678","85323489778.3842","67278840396.3029","30284125941.5384","44704115918.2064","74105205102.3192","43331824305.8357","54298783048.5463","12546544688.6579","11454449295.7352","126134890913.663","183147006410.133","54330179539.5049","-33182546314.0868","58702069751.2908","-133258551001.961","",
"Channel Islands","CHI","Foreign direct investment, net outflows (BoP, current US$)","BM.KLT.DINV.CD.WD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Foreign direct investment, net outflows (BoP, current US$)","BM.KLT.DINV.CD.WD","","","","","","","","","","","","","","","","0","200000","5000000","4000000","11000000","43500000","21300000","16699999.9","2799999.9","11000000","1700000","2500000","5500000","15600000","6800000","7500000","125300000","397800000","434200000","910700000","752000000","1133452223.47","1462692823.08779","1483481263.58978","2557923987.36262","3986645149.32212","1609732036.22246","343153489.434827","1709121056.86809","2144595437.75632","2135147235.10971","2211917353.86478","4851556370.30566","9151346650.75362","7232878973.30645","9460710399.69056","20251948266.9055","20556117213.9735","9888339507.41457","12800288801.0231","15931071857.471","8492455314.50597","3523542449.78053","1309261953.59184","9339445699.54573","11724838537.7871","",
